contractSymbol,lastTradeDate,Strike,Prix_Option,bid,ask,change,percentChange,Volume,Open_Interest,impliedVolatility,inTheMoney,contractSize,currency,Type_Option,expirationDate,Prix_Sous_Jacent,Jours_Jusqu_Maturite,Temps_Maturite_Annees,Moneyness,Log_Moneyness,Bid_Ask_Spread,Bid_Ask_Spread_Pct,Liquidity_Score,Volatilite_Implicite,Realized_Vol_10D,Realized_Vol_20D,Realized_Vol_30D,Realized_Vol_60D,IV_RV_Ratio,RSI,Vol_Rank,Delta,Gamma,Vega,Theta,VIX_Proxy,high_volume,high_oi,tight_spread,quality_score,Taux_Sans_Risque,Dividend_Yield,Rho,Vanna,Volga,Strike_Ratio,Sqrt_Time,Vol_Time,Is_Call,Log_Volume,Log_Open_Interest,Is_OTM,OTM_Distance,Delta_Gamma_Product,Vega_Volga_Ratio,Volatility_Skew,Vol_VIX_Ratio,Date_Scraping
AAPL250530C00110000,2025-05-23 18:45:51+00:00,110.0,85.7,84.6,86.25,-5.850006,-6.3899574,4.0,2.0,1.984375078125,True,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,0.5633225789931889,-0.5739028504599893,1.6500000000000057,1.9253208868144756,2.5999999999999996,198.4375078125,39.52560320800357,32.85732736876173,35.6372341702523,52.1642721431247,6.039368497182136,45.48857482650572,83.33333333333334,0.9979310967046816,0.00016123520569867546,0.001336055377332183,-0.04791504882092029,34.53802863219233,False,False,True,0.4,0.05,0.015,0.012046543463381245,0.00013332912079592926,2.1541916358897596e-08,0.5633225789931889,0.10464895197052097,20.766277224220193,1,1.6094379124341003,1.0986122886681098,0,0.0,0.00016090162565028413,1.3360265967589824,0,5.745478699022783,2025-05-25
AAPL250530C00120000,2025-05-09 19:42:30+00:00,120.0,78.74,74.8,75.9,0.0,0.0,4.0,6.0,1.5703146484375,True,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,0.6145337225380243,-0.4868914734703596,1.1000000000000085,1.397002794005599,5.3999999999999995,157.03146484375,39.52560320800357,32.85732736876173,35.6372341702523,52.1642721431247,4.779191657354447,45.48857482650572,83.33333333333334,0.9988366846938082,0.00012053934928236699,0.0007904171301737706,-0.03176595852503297,34.53802863219233,False,False,True,0.4,0.05,0.015,0.013141683778234086,7.894976258279633e-05,9.527636653278228e-09,0.6145337225380243,0.10464895197052097,16.433178222294146,1,1.6094379124341003,1.9459101490553132,0,0.0,0.00012039912401234842,0.7904095994382998,0,4.54662501198414,2025-05-25
AAPL250530C00125000,2025-05-23 13:32:47+00:00,125.0,70.95,69.55,71.05,-6.560005,-8.46343,1.0,10.0,1.2968785156249998,True,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,0.6401392943104419,-0.44606947895010457,1.5,2.1141649048625792,7.3,129.6878515625,39.52560320800357,32.85732736876173,35.6372341702523,52.1642721431247,3.946999404638048,45.48857482650572,83.33333333333334,0.9996026311175981,5.419730928425157e-05,0.0002935065791772415,-0.021800298609485184,34.53802863219233,False,False,True,0.4,0.05,0.015,0.013689253935660506,2.9338994879589626e-05,1.590726684863163e-09,0.6401392943104419,0.10464895197052097,13.571697749324114,1,0.6931471805599453,2.3978952727983707,0,0.0,5.417577296003209e-05,0.2935061122892365,0,3.7549291809208842,2025-05-25
AAPL250530C00130000,2025-05-21 18:41:30+00:00,130.0,72.48,64.9,65.85,0.0,0.0,2.0,4.0,1.3828155859374998,True,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,0.6657448660828595,-0.40684876579682333,0.9499999999999886,1.3107064017659886,3.4,138.28155859374996,39.52560320800357,32.85732736876173,35.6372341702523,52.1642721431247,4.208545541206059,45.48857482650572,83.33333333333334,0.9980356317088892,0.00022073875114046612,0.0012746286216432526,-0.03955213836565027,34.53802863219233,False,False,True,0.4,0.05,0.015,0.014236824093086926,0.00012721247815959544,2.8135993010942533e-08,0.6657448660828595,0.10464895197052097,14.471020183686122,1,1.0986122886681098,1.6094379124341003,0,0.0,0.0002203051389371064,1.2745927597102735,0,4.003747870683621,2025-05-25
AAPL250530C00135000,2025-05-23 13:32:37+00:00,135.0,60.7,59.65,61.1,-5.579998,-8.418826,3.0,5.0,1.2675817871093749,True,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,0.6913504378552773,-0.36910843781397623,1.4500000000000028,2.3887973640856717,4.4,126.75817871093749,39.52560320800357,32.85732736876173,35.6372341702523,52.1642721431247,3.8578359489898624,45.48857482650572,83.33333333333334,0.9978063034950015,0.00026618018866330566,0.0014089401276018946,-0.04050102688614463,34.53802863219233,False,False,True,0.4,0.05,0.015,0.014784394250513347,0.00014058493405682223,3.750319489803743e-08,0.6913504378552773,0.10464895197052097,13.265110555791612,1,1.3862943611198906,1.791759469228055,0,0.0,0.00026559627011373514,1.4088872898272746,0,3.670104627592678,2025-05-25
AAPL250530C00140000,2025-05-23 13:32:49+00:00,140.0,55.9,54.95,56.0,-5.3999977,-8.809133,7.0,4.0,1.2714880175781247,True,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,0.7169560096276949,-0.33274079364310144,1.0499999999999972,1.8783542039355943,4.9,127.14880175781246,39.52560320800357,32.85732736876173,35.6372341702523,52.1642721431247,3.869724409742953,45.48857482650572,83.33333333333334,0.9948740397360577,0.0005689826298020662,0.0030210095574898445,-0.06656841704123646,34.53802863219233,False,False,True,0.4,0.05,0.015,0.015331964407939767,0.0003005523982541162,1.718901962677748e-07,0.7169560096276949,0.10464895197052097,13.30598884826261,1,2.0794415416798357,1.6094379124341003,0,0.0,0.0005660660474508274,3.0204903648082126,0,3.6814145680364385,2025-05-25
AAPL250530C00145000,2025-05-23 13:32:37+00:00,145.0,50.7,49.7,50.9,-5.869999,-10.376523,6.0,74.0,0.8984385156249999,True,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,0.7425615814001126,-0.29764947383183127,1.1999999999999957,2.3668639053254354,53.599999999999994,89.84385156249999,39.52560320800357,32.85732736876173,35.6372341702523,52.1642721431247,2.7343627360244995,45.48857482650572,83.33333333333334,0.9993427579816556,0.00012463532250138,0.0004675954996681645,-0.024991887938792978,34.53802863219233,False,False,True,0.4,0.05,0.015,0.01587953456536619,4.672881762581939e-05,5.82789159013356e-09,0.7425615814001126,0.10464895197052097,9.402064907010677,1,1.9459101490553132,4.31748811353631,0,0.0,0.00012455340693046218,0.4675927745881659,0,2.6013022491607414,2025-05-25
AAPL250530C00150000,2025-05-23 19:47:50+00:00,150.0,45.5,44.75,46.15,-6.1100006,-11.838792,51.0,8.0,1.0185595947265624,True,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,0.7681671531725303,-0.26374792215615,1.3999999999999986,3.076923076923074,20.9,101.85595947265624,39.52560320800357,32.85732736876173,35.6372341702523,52.1642721431247,3.0999465759802853,45.48857482650572,83.33333333333334,0.994259103713719,0.0007855249145484129,0.003341082714629419,-0.06239809782247194,34.53802863219233,False,False,True,0.4,0.05,0.015,0.01642710472279261,0.0003321901905280845,2.624503713908454e-07,0.7681671531725303,0.10464895197052097,10.659119410765333,1,3.9512437185814275,2.1972245773362196,0,0.0,0.0007810152974837007,3.340206076304171,0,2.949095924302928,2025-05-25
AAPL250530C00155000,2025-05-19 19:59:24+00:00,155.0,53.95,39.95,40.95,0.0,0.0,11.0,7.0,0.9082040429687499,True,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,0.793772724944948,-0.23095809933315906,1.0,1.8535681186283595,8.2,90.82040429687498,39.52560320800357,32.85732736876173,35.6372341702523,52.1642721431247,2.7640837393007254,45.48857482650572,83.33333333333334,0.993385967291791,0.0009986892008744769,0.003787517113842902,-0.06345855960411836,34.53802863219233,False,False,True,0.4,0.05,0.015,0.016974674880219028,0.00037624663517690435,3.7825524397221727e-07,0.793772724944948,0.10464895197052097,9.504260127206967,1,2.4849066497880004,2.0794415416798357,0,0.0,0.000992083837834558,3.7860850073347523,0,2.6295769588951807,2025-05-25
AAPL250530C00160000,2025-05-23 18:31:41+00:00,160.0,35.82,34.95,36.35,-6.529999,-15.419124,60.0,28.0,0.9150399121093751,True,REGULAR,USD,CALL,2025-05-30,195.27,4,0.010951403148528405,0.8193782967173656,-0.1992094010185788,1.3999999999999986,3.908431044109432,37.599999999999994,91.50399121093751,39.52560320800357,32.85732736876173,35.6372341702523,52.1642721431247,2.7848884415940844,45.48857482650572,83.33333333333334,0.9833406511657833,0.002215993733289949,0.008467386514016705,-0.11719334532020048,34.53802863219233,False,False,True,0.4,0.05,0.015,0.017522245037645448,0.0008326325368365558,1.8763675452404844e-06,0.8193782967173656,0.10464895197052097,9.575796781344373,1,4.110873864173311,3.367295829986474,0,0.0,0.0021790767206726334,8.451528340530853,0,2.6493692557092894,2025-05-25
