date,spot,vix,rf
2023-01-04,3852.97,22.01,0.0455
2023-01-05,3808.1001,22.46,0.0466
2023-01-06,3895.0801,21.13,0.0467
2023-01-07,3895.0801,21.13,0.0467
2023-01-08,3895.0801,21.13,0.0467
2023-01-09,3892.0901,21.97,0.047
2023-01-10,3919.25,20.58,0.0473
2023-01-11,3969.6101,21.09,0.0472
2023-01-12,3983.1699,18.83,0.0466
2023-01-13,3999.0901,18.35,0.0467
2023-01-14,3999.0901,18.35,0.0467
2023-01-15,3999.0901,18.35,0.0467
2023-01-17,3990.97,19.36,0.0471
2023-01-18,3928.8601,20.34,0.0469
2023-01-19,3898.8501,20.52,0.0471
2023-01-20,3972.6101,19.85,0.0472
2023-01-21,3972.6101,19.85,0.0472
2023-01-22,3972.6101,19.85,0.0472
2023-01-23,4019.8101,19.81,0.0473
2023-01-24,4016.95,19.2,0.0472
2023-01-25,4016.22,19.08,0.0472
2023-01-26,4060.4299,18.73,0.0471
2023-01-27,4070.5601,18.51,0.0473
2023-01-28,4070.5601,18.51,0.0473
2023-01-29,4070.5601,18.51,0.0473
2023-01-30,4017.77,19.94,0.0472
2023-01-31,4076.6001,19.4,0.047
2023-02-01,4119.21,17.87,0.0466
2023-02-02,4179.7598,18.73,0.0466
2023-02-03,4136.48,18.33,0.047
2023-02-04,4136.48,18.33,0.047
2023-02-05,4136.48,18.33,0.047
2023-02-06,4111.0801,19.43,0.0471
2023-02-07,4164.0,18.66,0.0471
2023-02-08,4117.8599,19.63,0.0472
2023-02-09,4081.5,20.71,0.0477
2023-02-10,4090.46,20.53,0.0479
2023-02-11,4090.46,20.53,0.0479
2023-02-12,4090.46,20.53,0.0479
2023-02-13,4137.29,20.34,0.0481
2023-02-14,4136.1299,18.91,0.048
2023-02-15,4147.6001,18.23,0.0479
2023-02-16,4090.4099,20.17,0.0484
2023-02-17,4079.0901,20.02,0.0484
2023-02-18,4079.0901,20.02,0.0484
2023-02-19,4079.0901,20.02,0.0484
2023-02-21,3997.3401,22.87,0.0486
2023-02-22,3991.05,22.29,0.0484
2023-02-23,4012.3201,21.14,0.0484
2023-02-24,3970.04,21.67,0.0486
2023-02-25,3970.04,21.67,0.0486
2023-02-26,3970.04,21.67,0.0486
2023-02-27,3982.24,20.95,0.0489
2023-02-28,3970.1499,20.7,0.0488
2023-03-01,3951.3899,20.58,0.049
2023-03-02,3981.3501,19.59,0.0491
2023-03-03,4045.6399,18.49,0.0491
2023-03-04,4045.6399,18.49,0.0491
2023-03-05,4045.6399,18.49,0.0491
2023-03-06,4048.4199,18.61,0.0493
2023-03-07,3986.3701,19.59,0.0504
2023-03-08,3992.01,19.11,0.0506
2023-03-09,3918.3201,22.61,0.0505
2023-03-10,3861.5901,24.8,0.0501
2023-03-11,3861.5901,24.8,0.0501
2023-03-12,3861.5901,24.8,0.0501
2023-03-13,3855.76,26.52,0.0487
2023-03-14,3919.29,23.73,0.0488
2023-03-15,3891.9299,26.14,0.0475
2023-03-16,3960.28,22.99,0.0474
2023-03-17,3916.6399,25.51,0.0452
2023-03-18,3916.6399,25.51,0.0452
2023-03-19,3916.6399,25.51,0.0452
2023-03-20,3951.5701,24.15,0.0481
2023-03-21,4002.8701,21.38,0.0478
2023-03-22,3936.97,22.26,0.0479
2023-03-23,3948.72,22.61,0.0473
2023-03-24,3970.99,21.74,0.0474
2023-03-25,3970.99,21.74,0.0474
2023-03-26,3970.99,21.74,0.0474
2023-03-27,3977.53,20.6,0.0491
2023-03-28,3971.27,19.97,0.048
2023-03-29,4027.8101,19.12,0.048
2023-03-30,4050.8301,19.02,0.0497
2023-03-31,4109.3101,18.7,0.0485
2023-04-01,4109.3101,18.7,0.0485
2023-04-02,4109.3101,18.7,0.0485
2023-04-03,4124.5098,18.55,0.049
2023-04-04,4100.6001,19.0,0.0488
2023-04-05,4090.3799,19.08,0.0486
2023-04-06,4105.02,18.4,0.0491
2023-04-07,4105.02,18.4,0.0495
2023-04-08,4105.02,18.4,0.0495
2023-04-09,4105.02,18.4,0.0495
2023-04-10,4109.1099,18.97,0.0508
2023-04-11,4108.9399,19.1,0.0504
2023-04-12,4091.95,19.09,0.0502
2023-04-13,4146.2202,17.8,0.051
2023-04-14,4137.6401,17.07,0.0514
2023-04-15,4137.6401,17.07,0.0514
2023-04-16,4137.6401,17.07,0.0514
2023-04-17,4151.3198,16.95,0.0521
2023-04-18,4154.8701,16.83,0.052
2023-04-19,4154.52,16.46,0.0516
2023-04-20,4129.79,17.17,0.0512
2023-04-21,4133.52,16.77,0.0514
2023-04-22,4133.52,16.77,0.0514
2023-04-23,4133.52,16.77,0.0514
2023-04-24,4137.04,16.89,0.052
2023-04-25,4071.6299,18.76,0.0512
2023-04-26,4055.99,18.84,0.0516
2023-04-27,4135.3501,17.03,0.0518
2023-04-28,4169.48,15.78,0.051
2023-04-29,4169.48,15.78,0.051
2023-04-30,4169.48,15.78,0.051
2023-05-01,4167.8701,16.08,0.0527
2023-05-02,4119.5801,17.78,0.0524
2023-05-03,4090.75,18.34,0.0526
2023-05-04,4061.22,20.09,0.0526
2023-05-05,4136.25,17.19,0.0526
2023-05-06,4136.25,17.19,0.0526
2023-05-07,4136.25,17.19,0.0526
2023-05-08,4138.1201,16.98,0.0531
2023-05-09,4119.1699,17.71,0.0529
2023-05-10,4137.6401,16.94,0.0524
2023-05-11,4130.6201,16.93,0.052
2023-05-12,4124.0801,17.03,0.0525
2023-05-13,4124.0801,17.03,0.0525
2023-05-14,4124.0801,17.03,0.0525
2023-05-15,4136.2798,17.12,0.0521
2023-05-16,4109.8999,17.99,0.0523
2023-05-17,4158.77,16.87,0.0526
2023-05-18,4198.0498,16.05,0.0531
2023-05-19,4191.98,16.81,0.0529
2023-05-20,4191.98,16.81,0.0529
2023-05-21,4191.98,16.81,0.0529
2023-05-22,4192.6299,17.21,0.054
2023-05-23,4145.5801,18.53,0.0534
2023-05-24,4115.2402,20.03,0.0537
2023-05-25,4151.2798,19.14,0.0538
2023-05-26,4205.4502,17.95,0.0534
2023-05-27,4205.4502,17.95,0.0534
2023-05-28,4205.4502,17.95,0.0534
2023-05-30,4205.52,17.46,0.0555
2023-05-31,4179.8301,17.94,0.0552
2023-06-01,4221.02,15.65,0.055
2023-06-02,4282.3701,14.6,0.055
